SaleID,CustomerID,ProductID,Quantity,Discount,SaleDate
3,40,58,1,0.21,2026-06-15
13,203,55,5,0.27,2026-05-20
22,127,26,3,0.28,2026-05-25
29,72,13,2,0.20,2026-06-15
35,199,47,1,0.22,2026-06-10
36,134,98,4,0.29,2026-05-27
47,51,17,3,0.29,2026-05-31
59,234,70,4,0.08,2026-06-04
67,192,20,1,0.16,2026-06-16
72,102,92,2,0.19,2026-05-23
84,187,52,2,0.24,2026-05-25
98,139,40,1,0.07,2026-06-15
102,58,64,2,0.02,2026-05-25
109,163,85,1,0.08,2026-05-19
113,62,69,2,0.15,2026-06-15
118,165,87,1,0.20,2026-06-04
139,245,100,3,0.28,2026-06-16
148,231,86,5,0.01,2026-06-11
199,23,2,2,0.21,2026-06-10
208,201,71,2,0.13,2026-05-26
209,41,12,5,0.29,2026-05-21
211,216,83,5,0.26,2026-05-26
215,128,45,3,0.25,2026-06-01
246,181,100,4,0.14,2026-05-21
265,63,9,5,0.22,2026-06-12
271,116,46,3,0.17,2026-06-07
274,62,57,3,0.28,2026-05-30
276,62,49,1,0.03,2026-06-07
279,118,88,3,0.06,2026-06-08
289,71,50,3,0.23,2026-06-03
290,13,81,3,0.07,2026-06-13
292,37,87,1,0.28,2026-06-16
307,22,85,3,0.13,2026-06-13
311,41,60,2,0.14,2026-05-23
326,46,42,2,0.05,2026-06-15
338,11,51,4,0.17,2026-06-13
342,248,2,5,0.25,2026-06-07
355,57,27,3,0.03,2026-06-09
360,171,30,4,0.09,2026-05-30
365,73,28,2,0.28,2026-05-29
376,64,94,2,0.03,2026-06-05
391,26,12,1,0.27,2026-05-23
395,216,16,1,0.14,2026-05-20
398,208,87,2,0.21,2026-05-27
409,208,97,4,0.06,2026-05-29
412,193,31,3,0.30,2026-06-12
423,139,29,4,0.11,2026-06-12
426,130,43,3,0.21,2026-06-03
427,9,41,5,0.20,2026-06-11
428,206,30,5,0.26,2026-05-22
436,80,86,5,0.23,2026-06-05
444,193,23,4,0.20,2026-06-13
466,35,84,2,0.06,2026-05-21
473,229,77,3,0.02,2026-06-09
474,42,52,4,0.20,2026-06-05
489,50,61,2,0.03,2026-05-26
497,99,71,2,0.12,2026-06-15
504,153,60,2,0.25,2026-06-08
505,35,19,1,0.06,2026-05-27
513,2,94,1,0.25,2026-05-29
517,198,26,1,0.29,2026-06-13
520,46,41,3,0.12,2026-06-07
521,224,37,5,0.26,2026-06-09
522,192,60,3,0.03,2026-06-15
523,48,72,5,0.24,2026-05-22
539,13,25,2,0.20,2026-06-10
543,203,42,5,0.25,2026-05-27
549,212,71,5,0.27,2026-06-02
568,22,27,5,0.13,2026-05-19
571,172,8,2,0.28,2026-06-16
573,55,82,3,0.18,2026-06-16
591,55,68,4,0.28,2026-06-14
593,201,4,3,0.15,2026-05-30
600,18,83,3,0.24,2026-05-30
